wb2,wm7,cm1,cm8,cm9a,cm9b,cm10,ma1,ma5,ind_id,women_WM,wmweight,ta1,ta2,ta3,ta4,ta5,ta6,ta7,ta8a,ta8b,ta8c,ta8d,ta8x,ta9,ta10,ta11,ta12a,ta12b,ta12d,ta12e,ta12x,ta13,ta14,ta15,ta16,ta17
43,1,1,2,NA,NA,5,1,NA,100102,1,0.2393595749628478,1,25,2,NA,NA,2,NA,,,,,,NA,1,2,,,,,,NA,1,12,0,NA
20,1,2,2,NA,NA,0,3,3,100103,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
18,1,2,2,NA,NA,0,3,3,100104,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
15,1,2,2,NA,NA,0,3,3,100105,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
34,1,1,1,1,0,4,1,NA,100204,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,5,0,NA
20,1,1,2,NA,NA,1,1,NA,100303,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,2,NA,NA,NA
20,1,2,2,NA,NA,0,3,3,100305,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
18,1,2,2,NA,NA,0,3,3,100306,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
15,1,2,2,NA,NA,0,3,3,100307,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
20,1,1,2,NA,NA,1,1,NA,100502,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,1,,,,E,,30,2,NA,NA,NA
18,1,1,2,NA,NA,1,1,NA,100603,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
38,1,1,2,NA,NA,3,1,NA,100702,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,1,10,30,2
17,1,2,2,NA,NA,0,3,3,100704,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
36,1,1,2,NA,NA,1,1,NA,100802,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
37,1,1,2,NA,NA,2,1,NA,101001,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,1,2,,,,,,NA,1,18,30,1
15,1,2,2,NA,NA,0,3,3,101003,1,0.2393595749628478,2,NA,NA,NA,NA,2,NA,,,,,,NA,2,NA,,,,,,NA,2,NA,NA,NA
40,1,1,2,NA,NA,1,1,NA,101102,1,0.2393595749628478,1,22,1,2,30,2,NA,,,,,,NA,1,1,,,,E,,30,1,10,30,2
